site,lat,lon,subregion
Y1298,24.934365,-80.549707,Mid-Upper Keys Transition
Y1299,24.903587,-80.550152,Mid-Upper Keys Transition
Y1300,24.896738,-80.616409,Mid-Upper Keys Transition
Y1301,24.896626,-80.544725,Mid-Upper Keys Transition
Y1302,24.887316,-80.562716,Mid-Upper Keys Transition
Y1303,24.864652,-80.584491,Mid-Upper Keys Transition
Y1305,24.836788,-80.726193,Mid-Upper Keys Transition
Y1306,24.836692,-80.646053,Mid-Upper Keys Transition
Y1309,24.782964,-80.763168,Middle Keys
Y1310,24.778596,-80.735328,Middle Keys
Y1311,24.774405,-80.740565,Middle Keys
Y1312,24.757816,-80.78495,Middle Keys
Y1313,24.752791,-80.761496,Middle Keys
Y1314,24.747641,-80.76538,Middle Keys
Y1315,24.73763,-80.899276,Middle Keys
Y1316,24.733652,-80.811124,Middle Keys
Y1317,24.721479,-80.925801,Middle Keys
Y1319,24.717523,-80.960544,Middle Keys
Y1321,24.713215,-80.972845,Middle Keys
Y1325,24.694307,-81.040172,Middle Keys
Y1326,24.693304,-81.020787,Middle Keys
Y1327,24.68991,-81.029962,Middle Keys
Y1328,24.688638,-81.03623,Middle Keys
Y1329,24.684363,-81.047441,Middle Keys
Y1330,24.682085,-80.972933,Middle Keys
Y1331,24.667395,-81.066333,Middle Keys
Y1332,24.661016,-81.107562,Middle Keys
Y1333,24.652135,-81.025861,Middle Keys
Y1335,24.631599,-81.239459,Middle Keys
Y1336,24.631124,-81.093252,Middle Keys
Y1337,24.630866,-81.236125,Middle Keys
Y1338,24.626027,-81.108078,Middle Keys
Y1339,24.625667,-81.110534,Middle Keys
Y1340,24.625001,-81.231658,Middle Keys
Y1341,24.618917,-81.380663,Lower Keys
Y1342,24.609728,-81.219219,Middle Keys
Y1343,24.608305,-81.36344,Lower Keys
Y1344,24.59954,-81.21639,Middle Keys
Y1345,24.59544,-81.212753,Middle Keys
Y1346,24.594174,-81.375106,Lower Keys
Y1347,24.592633,-81.398366,Lower Keys
Y1348,24.588825,-81.390244,Lower Keys
Y1349,24.586609,-81.581264,Lower Keys
Y1351,24.576451,-81.451589,Lower Keys
Y1352,24.573832,-81.320789,Lower Keys
Y1353,24.573109,-81.597111,Lower Keys
Y1354,24.569302,-81.652483,Lower Keys
Y1355,24.566721,-81.659293,Lower Keys
Y1357,24.563889,-81.551934,Lower Keys
Y1358,24.563149,-81.657418,Lower Keys
Y1359,24.55972,-81.66851,Lower Keys
Y1360,24.55908,-81.41368,Lower Keys
Y1362,24.556831,-81.671523,Lower Keys
Y1363,24.555886,-81.360155,Lower Keys
