data_provider,site,lat,lon,date,species,coral_type,n_alive,n_dead,n_geno,n_total,pct_mort,n_total_cat,subregion,siteclust
bnp,bnp.Safety Valve/Star-RSMAS,25.53167,-80.10287,2024-05-01,APAL,Outplant,11,89,NA,100,0.89,"[100,1e+03)",Biscayne,66
bnp,bnp.Valentine-RSMAS,25.55705,-80.101,2024-03-01,APAL,Outplant,5,95,NA,100,0.95,"[100,1e+03)",Biscayne,61
bnp,bnp.Amanda's Reef,25.35239,-80.17854,2024-03-01,APAL,Wild,0,8,NA,8,1,"[0,10)",Biscayne,67
bnp,bnp.BB-Ball Paul,25.3160240035504,-80.1880090311169,2024-03-01,APAL,Wild,3,0,NA,3,0,"[0,10)",Biscayne,23
bnp,bnp.BB-BB3,25.31686,-80.18575,2024-03-01,APAL,Wild,1,0,NA,1,0,"[0,10)",Biscayne,23
bnp,bnp.BB-Cpal,25.31741,-80.1852,2024-03-01,APAL,Wild,10,1,NA,11,0.09090909090909091,"[10,100)",Biscayne,23
bnp,bnp.BB-MD1,25.31541,-80.18781,2024-03-01,APAL,Wild,1,0,NA,1,0,"[0,10)",Biscayne,23
bnp,bnp.BB-North,25.3186939749866,-80.1842970214784,2024-03-01,APAL,Wild,0,7,NA,7,1,"[0,10)",Biscayne,23
bnp,bnp.Brewster Reef,25.56662,-80.09994,2024-03-01,APAL,Wild,0,11,NA,11,1,"[10,100)",Biscayne,61
bnp,bnp.DR9,25.36019,-80.16647,2024-03-01,APAL,Wild,0,1,NA,1,1,"[0,10)",Biscayne,67
bnp,bnp.Fowey,25.57247,-80.09977,2024-03-01,APAL,Wild,1,0,NA,1,0,"[0,10)",Biscayne,61
bnp,bnp.Laura Palmata,25.33529,-80.17822,2024-03-01,APAL,Wild,0,43,NA,43,1,"[10,100)",Biscayne,68
bnp,bnp.Shadow Reef,25.47765,-80.14082,2024-03-01,APAL,Wild,0,26,NA,26,1,"[10,100)",Biscayne,58
